mode_id,target_slot,target_name,mre_mm,reference_mre_mm,delta_mre_mm
Posterior_Covered,85,autochthon_left,23.02,18.89,4.13
Posterior_Covered,86,autochthon_right,23.53,19.35,4.18
Posterior_Covered,87,iliopsoas_left,29.28,22.62,6.66
Posterior_Covered,88,iliopsoas_right,28.59,21.77,6.82
Posterior_Covered,89,brain,49.47,43.22,6.24
Posterior_Covered,90,skull,70.67,64.43,6.25
Posterior_Covered,91,rib_left_1,28.74,19.15,9.58
Posterior_Covered,92,rib_left_2,30.83,21.45,9.38
Posterior_Covered,95,rib_left_5,32.93,23.84,9.09
Posterior_Covered,96,rib_left_6,33.07,23.01,10.05
Posterior_Covered,97,rib_left_7,33.67,23.63,10.04
Posterior_Covered,98,rib_left_8,33.57,23.51,10.05
Posterior_Covered,99,rib_left_9,33.4,23.2,10.21
Posterior_Covered,100,rib_left_10,32.28,23.39,8.88
Posterior_Covered,101,rib_left_11,30.44,23.18,7.26
Posterior_Covered,102,rib_left_12,30.33,23.27,7.06
Posterior_Covered,103,rib_right_1,27.58,18.08,9.5
Posterior_Covered,104,rib_right_2,27.45,19.15,8.31
Posterior_Covered,105,rib_right_3,29.18,20.74,8.44
Posterior_Covered,106,rib_right_4,32.5,23.46,9.04
Posterior_Covered,107,rib_right_5,31.21,22.09,9.13
Posterior_Covered,108,rib_right_6,32.55,22.45,10.1
Posterior_Covered,109,rib_right_7,35.01,24.33,10.68
Posterior_Covered,110,rib_right_8,36.42,24.74,11.68
Posterior_Covered,111,rib_right_9,35.35,23.87,11.48
Posterior_Covered,112,rib_right_10,34.31,23.79,10.52
Posterior_Covered,113,rib_right_11,31.1,22.67,8.43
Posterior_Covered,114,rib_right_12,30.13,23.23,6.9
Posterior_Covered,115,sternum,28.33,17.9,10.43
Posterior_Covered,116,costal_cartilages,30.42,19.45,10.97
Superior_Covered,0,spleen,50.38,28.04,22.34
Superior_Covered,1,kidney_right,43.45,28.88,14.56
Superior_Covered,2,kidney_left,43.53,27.69,15.84
Superior_Covered,3,gallbladder,56.73,36.85,19.88
Superior_Covered,4,liver,56.14,28.76,27.38
Superior_Covered,5,stomach,56.9,30.5,26.4
Superior_Covered,6,pancreas,44.63,26.77,17.86
Superior_Covered,7,adrenal_gland_right,44.94,23.9,21.04
Superior_Covered,8,adrenal_gland_left,44.17,24.1,20.07
Superior_Covered,9,lung_upper_lobe_left,107.12,20.9,86.22
Superior_Covered,10,lung_lower_lobe_left,73.0,24.12,48.88
Superior_Covered,11,lung_upper_lobe_right,130.37,23.95,106.42
Superior_Covered,12,lung_middle_lobe_right,78.62,23.38,55.24
